nivel_bot,equipo_bot,objetivo_bot,bloque_bot,grupo_muscular,patron_movimiento_1,clasificacion,short_youtube_url,ejercicio,categoria_movimiento,score_funcional,tipo_rutina
Principiante,Accesorios funcionales,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/t8OkcdLjRFQ,Slider Single Arm Dumbbell Front Rack Contralateral Reverse Lunge,Pierna,2,fuerza_hipertrofia
Principiante,Gimnasio / maquina,Fuerza / hipertrofia,Principal,Hamstrings,Knee Dominant,Bodybuilding,https://youtu.be/IalP0lgYPnc,Cable Prone Bench Hamstring Curl,Pierna,-1,fuerza_hipertrofia
Intermedio,Sin equipo,Condicion fisica / potencia,Tecnica,Quadriceps,Knee Dominant,Plyometric,https://youtu.be/CWTu90BUTIY?si=9JSuKmfFRaalZ6er,Bodyweight Bulgarian Split Squat Jump,Pierna,8,potencia_funcional
Principiante,Gimnasio / maquina,Fuerza / hipertrofia,Principal,Hamstrings,Knee Dominant,Bodybuilding,https://youtu.be/tkh43Yc0tEs,Cable Standing Single Leg Hamstring Curl,Pierna,-1,fuerza_hipertrofia
Avanzado,Sin equipo,Fuerza / hipertrofia,Principal avanzado,Hamstrings,Knee Dominant,Sin clasificar,https://youtu.be/kjv4WQXWl_A,Bodyweight Nordic Hamstring Curl,Pierna,0,fuerza_hipertrofia
Intermedio,Otro equipo,Movilidad / estabilidad,Calentamiento,Quadriceps,Knee Dominant,Balance,https://youtu.be/szRINrcALyI,Superband Assisted Pistol Squat,Pierna,4,movilidad_estabilidad
Intermedio,Accesorios funcionales,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,Sin dato,Slider Double Kettlebell Bottoms Up Front Rack Reverse Lunge,Pierna,2,fuerza_hipertrofia
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/B86Zj72LwzA,Double Dumbbell Front Rack Squat,Pierna,2,fuerza_hipertrofia
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/KdE6b_r7wxA,Double Dumbbell Suitcase Walking Lunge,Pierna,2,fuerza_hipertrofia
Intermedio,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/ZPoMxOrIeO4,Barbell Back Rack Walking Lunge,Pierna,2,fuerza_hipertrofia
Principiante,Sin equipo,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Calisthenics,https://youtu.be/Ly71LeprFKQ,Bodyweight Box Pistol Squat,Pierna,5,fuerza_hipertrofia
Intermedio,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Sin clasificar,https://youtu.be/pn8mqlG0nkE,Barbell Overhead Squat,Pierna,3,fuerza_hipertrofia
Avanzado,Accesorios funcionales,Fuerza / hipertrofia,Principal avanzado,Quadriceps,Knee Dominant,Bodybuilding,Sin dato,Slider Double Kettlebell Bottoms Up Overhead Reverse Lunge,Pierna,2,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/oTRl7p13XtY,Landmine Goblet Squat,Pierna,2,fuerza_hipertrofia
Principiante,Accesorios funcionales,Fuerza / hipertrofia,Principal,Hamstrings,Knee Dominant,Sin clasificar,https://youtu.be/d-FBclT8W0g?si=wl1sJCzk2Z5PCnwx,Stability Ball Hamstring Curl,Pierna,0,fuerza_hipertrofia
Principiante,Accesorios funcionales,Fuerza / hipertrofia,Principal,Hamstrings,Knee Dominant,Sin clasificar,https://youtu.be/UaecXxAgsKA,Slider Hamstring Curl,Pierna,0,fuerza_hipertrofia
Principiante,Sin equipo,Condicion fisica / potencia,Principal,Hamstrings,Knee Dominant,Sin clasificar,https://youtu.be/GcV2LB0qqnY?si=PoIiYCAOL0uaDuPR,Bodyweight Hamstring Walkout,Pierna,5,potencia_funcional
Principiante,Accesorios funcionales,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/tWmzgpoOUls?si=Fmrp6-y_e5qk2SNJ,Slider Dumbbell Goblet Reverse Lunge,Pierna,2,fuerza_hipertrofia
Avanzado,Sin equipo,Fuerza / hipertrofia,Principal avanzado,Quadriceps,Knee Dominant,Calisthenics,https://youtu.be/bQY7fLEkZqU,Bodyweight Dragon Squat,Pierna,5,fuerza_hipertrofia
Intermedio,Accesorios funcionales,Fuerza / hipertrofia,Principal,Hamstrings,Knee Dominant,Bodybuilding,https://youtu.be/cuM7OBHSVow,Stability Ball Single Leg Hamstring Curl,Pierna,-1,fuerza_hipertrofia
Intermedio,Peso libre,Fuerza / hipertrofia,Principal,Hamstrings,Hip Hinge,Bodybuilding,Sin dato,Barbell Single Leg Romanian Deadlift,Cadera,2,fuerza_hipertrofia
Principiante,Peso libre,Condicion fisica / potencia,Principal,Quadriceps,Knee Dominant,Sin clasificar,https://youtu.be/HLDhxSqMQyE,Double Dumbbell Suitcase Lateral Lunge,Pierna,5,potencia_funcional
Avanzado,Peso libre,Fuerza / hipertrofia,Principal avanzado,Quadriceps,Knee Dominant,Bodybuilding,Sin dato,Barbell Zombie Walking Lunge,Pierna,2,fuerza_hipertrofia
Avanzado,Peso libre,Fuerza / hipertrofia,Principal avanzado,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/m6MczOv_Ayg,Barbell Overhead Walking Lunge,Pierna,2,fuerza_hipertrofia
Avanzado,Peso libre,Condicion fisica / potencia,Tecnica,Quadriceps,Knee Dominant,Olympic Weightlifting,https://youtu.be/EKRiW9Yt3Ps,Barbell Squat Clean,Pierna,5,potencia_funcional
Avanzado,Otro equipo,Condicion fisica / potencia,Principal avanzado,Shoulders,Vertical Push,Sin clasificar,Sin dato,Single Arm Landmine Split Clean to Split Jerk,Empuje,5,potencia_funcional
Intermedio,Otro equipo,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/hwd_6Y9YKvI,Single Arm Landmine Hack Squat,Pierna,2,fuerza_hipertrofia
Principiante,Otro equipo,Movilidad / estabilidad,Calentamiento,Shoulders,Sin clasificar,Mobility,Sin dato,Double Indian Club Lateral Arm Circles,Empuje,2,movilidad_estabilidad
Principiante,Ligas,Movilidad / estabilidad,Calentamiento,Shoulders,Sin clasificar,Mobility,https://youtu.be/5yPvjJOqbg4?si=1OYvLb1R7Zq_hl94,Resistance Band Shoulder Dislocates,Empuje,2,movilidad_estabilidad
Principiante,Calistenia / barras,Fuerza / hipertrofia,Principal,Forearms,Elbow Flexion,Sin clasificar,https://youtu.be/yewf3adybcc?si=-PZ9RsGl7FC8vp7J,Suspension Reverse Grip Bicep Curl,General,-2,fuerza_hipertrofia
Principiante,Gimnasio / maquina,Fuerza / hipertrofia,Principal,Forearms,Elbow Flexion,Bodybuilding,https://youtu.be/RLlT3qbVS3Q?si=SYASKBhplBkTNYee,Cable Straight Bar Reverse Grip Bicep Curl,General,-3,fuerza_hipertrofia
Principiante,Gimnasio / maquina,Fuerza / hipertrofia,Principal,Forearms,Elbow Flexion,Bodybuilding,https://youtu.be/SIuDkLLlL6E?si=_Y_P-I5PU4GP5LRy,Single Arm Cable Reverse Grip Bicep Curl,General,-3,fuerza_hipertrofia
Principiante,Calistenia / barras,Fuerza / hipertrofia,Principal,Biceps,Vertical Pull,Calisthenics,https://youtu.be/B1nRr__KiNk?si=5PGKtxdEbPpVW1Ds,Bar Eccentric Chin Up,Jalón,5,fuerza_hipertrofia
Principiante,Calistenia / barras,Fuerza / hipertrofia,Principal,Back,Vertical Pull,Calisthenics,https://youtu.be/T4Jv__fWjZ8?si=sbUarOu5VD7qBK4s,Bar Eccentric Pull Up,Jalón,5,fuerza_hipertrofia
Intermedio,Otro equipo,Core / estabilidad,Principal,Abdominals,Rotational,Sin clasificar,https://youtu.be/HGzu8tvh79U,Landmine Half Kneeling Oblique Twist,Core,3,core_estabilidad
Principiante,Calistenia / barras,Movilidad / estabilidad,Principal,Forearms,Isometric Hold,Calisthenics,https://youtu.be/uyNR71ZCrho?si=blbw-wn6NHBGbR9y,Single Arm Bar Dead Hang,Core,3,movilidad_estabilidad
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Shoulders,Vertical Push,Bodybuilding,https://youtu.be/UF_oINIojVQ?si=nyrZ0y91pz4IIfOs,Single Arm Kettlebell Tall Kneeling Overhead Press,Empuje,2,fuerza_hipertrofia
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Shoulders,Vertical Push,Bodybuilding,https://youtu.be/2kWWWRpk6Co?si=gy0bI1KIAsGs2hhI,Alternating Double Kettlebell Tall Kneeling Overhead Press,Empuje,2,fuerza_hipertrofia
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Shoulders,Vertical Push,Bodybuilding,https://youtu.be/V3wxOSo53mQ?si=cM14QdTRQfd_FXUt,Alternating Double Kettlebell Half Kneeling Overhead Press,Empuje,2,fuerza_hipertrofia
Avanzado,Accesorios funcionales,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Rotational,Sin clasificar,https://youtu.be/J3JZR2SFknM,Stability Ball Single Arm Forearm Plank,Core,3,movilidad_estabilidad
Avanzado,Accesorios funcionales,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Rotational,Sin clasificar,https://youtu.be/PAFvOAPjKwk,Stability Ball Feet Elevated Single Arm Forearm Plank,Core,3,movilidad_estabilidad
Intermedio,Otro equipo,Movilidad / estabilidad,Calentamiento,Quadriceps,Knee Dominant,Balance,https://youtu.be/avCA3xXb9hg,Landmine Zercher Skater Squat,Pierna,4,movilidad_estabilidad
Intermedio,Otro equipo,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Sin clasificar,https://youtu.be/h2bPSv9ka_o,Single Arm Landmine Front Rack Contralateral Reverse Lunge to Shoulder Press,Pierna,3,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/jLvQenjeus8,Landmine Thruster,Pierna,2,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Hamstrings,Hip Hinge,Bodybuilding,https://youtu.be/x5wWyQ-2k2E?feature=shared,Landmine Romanian Deadlift,Cadera,2,fuerza_hipertrofia
Intermedio,Otro equipo,Fuerza / hipertrofia,Principal,Hamstrings,Hip Hinge,Bodybuilding,https://youtu.be/rzJse5Ds98k,Single Arm Landmine Single Leg Romanian Deadlift,Cadera,2,fuerza_hipertrofia
Intermedio,Otro equipo,Core / estabilidad,Principal,Abdominals,Rotational,Sin clasificar,https://youtu.be/OCMcVEdK5vw,Landmine Tall Kneeling Oblique Twist,Core,3,core_estabilidad
Intermedio,Otro equipo,Core / estabilidad,Principal,Abdominals,Rotational,Sin clasificar,https://youtu.be/Zb-l68-4KFM,Landmine Feet Elevated Russian Twist,Core,3,core_estabilidad
Intermedio,Otro equipo,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/EcUficjayCY,Single Arm Landmine Thruster,Pierna,2,fuerza_hipertrofia
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Shoulders,Vertical Push,Bodybuilding,https://youtu.be/Ke5Erzd3NjE?si=fOzgTGBaC6CMWfE6,Double Kettlebell Tall Kneeling Seesaw Overhead Press,Empuje,2,fuerza_hipertrofia
Principiante,Peso libre,Movilidad / estabilidad,Calentamiento,Shoulders,Rotational,Mobility,Sin dato,Single Arm Kettlebell Arm Bar,Empuje,4,movilidad_estabilidad
Avanzado,Peso libre,Fuerza / hipertrofia,Tecnica,Shoulders,Hip Hinge,Olympic Weightlifting,Sin dato,Barbell Power Clean to Overhead Press,Cadera,3,fuerza_hipertrofia
Principiante,Calistenia / barras,Fuerza / hipertrofia,Principal,Back,Horizontal Pull,Bodybuilding,Sin dato,Single Arm Suspension Mid Row,Jalón,2,fuerza_hipertrofia
Intermedio,Otro equipo,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/e7jkuKuWcZ0,Landmine Zercher Curtsy Lunge,Pierna,2,fuerza_hipertrofia
Intermedio,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/YZQP6D9LP4E,Barbell Back Rack Alternating Cossack Squat,Pierna,2,fuerza_hipertrofia
Intermedio,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/_AEuTTkYzjg,Barbell Front Rack Alternating Cossack Squat,Pierna,2,fuerza_hipertrofia
Intermedio,Accesorios funcionales,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,Sin dato,Slider Double Kettlebell Overhead Lateral Lunge,Pierna,2,fuerza_hipertrofia
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/glbP_VzHNkw?si=1k1fGSYRRORQv7W8,Dumbbell Goblet Alternating Cossack Squat,Pierna,2,fuerza_hipertrofia
Principiante,Sin equipo,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/dhDjKmTX8tU,Bodyweight Alternating Cossack Squat,Pierna,2,fuerza_hipertrofia
Principiante,Sin equipo,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/ufsoFnFCqA4,Bodyweight Knee Over Toe Split Squat,Pierna,2,fuerza_hipertrofia
Intermedio,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/RBcrPYSWQb8,Barbell Back Rack Knee Over Toe Split Squat,Pierna,2,fuerza_hipertrofia
Intermedio,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/q7zJZAexRmc,Barbell Front Rack Knee Over Toe Split Squat,Pierna,2,fuerza_hipertrofia
Avanzado,Peso libre,Fuerza / hipertrofia,Principal avanzado,Quadriceps,Knee Dominant,Bodybuilding,Sin dato,Barbell Overhead Knee Over Toe Split Squat,Pierna,2,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Triceps,Elbow Extension,Bodybuilding,https://youtu.be/vJuyPyyEdTs?si=_MMem5dVaaarfRRu,EZ Bar Incline Bench Lying Tricep Extension,Empuje,-3,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Triceps,Elbow Extension,Bodybuilding,https://youtu.be/eiCMrII3j9k?si=J2G1ZmeiFQDhnfxT,EZ Bar Skull Crusher,Empuje,-3,fuerza_hipertrofia
Principiante,Accesorios funcionales,Core / estabilidad,Principal,Abdominals,Spinal Flexion,Sin clasificar,https://youtu.be/vx9j9l18pyE?si=U7boXKing8U74cQZ,Slider Knee Tuck,Core,1,core_estabilidad
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Triceps,Elbow Extension,Bodybuilding,https://youtu.be/9VtEoirFmT8?si=B904_aTFyPDoEqMp,EZ Bar Incline Bench Skull Crusher,Empuje,-3,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Triceps,Elbow Extension,Bodybuilding,https://youtu.be/XFBsHDastRI?si=rP6H63ZVPOndCThK,EZ Bar Decline Bench Skull Crusher,Empuje,-3,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Shoulders,Shoulder Flexion,Bodybuilding,https://youtu.be/N4HLFIr5H4A?si=l2WKwgNX9fExG7xF,EZ Bar Front Raise,Empuje,0,fuerza_hipertrofia
Intermedio,Calistenia / barras,Core / estabilidad,Principal,Abdominals,Spinal Flexion,Sin clasificar,https://youtu.be/MkmpHj0T3OQ,Suspension Pike,Core,1,core_estabilidad
Avanzado,Calistenia / barras,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Lateral Flexion,Sin clasificar,https://youtu.be/9PiqAsdkh6Q,Suspension Side Plank Reach Through,Core,1,movilidad_estabilidad
Intermedio,Sin equipo,Core / estabilidad,Principal,Abdominals,Spinal Flexion,Sin clasificar,https://youtu.be/BZWoijzyF_4?si=2gKtoX0oa_Lef7o8,Bodyweight Cocoon Crunch,Core,1,core_estabilidad
Avanzado,Otro equipo,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Extension,Sin clasificar,https://youtu.be/SFTn_VON9qw,Ab Wheel Standing Rollout,Core,1,movilidad_estabilidad
Principiante,Gimnasio / maquina,Fuerza / hipertrofia,Principal,Glutes,Hip External Rotation,Bodybuilding,https://youtu.be/P4cP-juNM1Q,Cable Fire Hydrant,Pierna,0,fuerza_hipertrofia
Principiante,Gimnasio / maquina,Fuerza / hipertrofia,Principal,Glutes,Hip Hinge,Bodybuilding,https://youtu.be/5mkpuBI-2Ls,Cable Tall Kneeling Pull Through,Pierna,2,fuerza_hipertrofia
Principiante,Accesorios funcionales,Fuerza / hipertrofia,Principal,Glutes,Hip Extension,Bodybuilding,Sin dato,Stability Ball Bent Knee Reverse Hyperextension,Pierna,0,fuerza_hipertrofia
Principiante,Sin equipo,Fuerza / hipertrofia,Principal,Glutes,Hip Extension,Bodybuilding,https://youtu.be/RbkVHCMU3xU,Bodyweight Bent Knee Reverse Hyperextension,Pierna,0,fuerza_hipertrofia
Intermedio,Otro equipo,Movilidad / estabilidad,Principal,Abdominals,Isometric Hold,Calisthenics,https://youtu.be/VhqEdeeAyvg,Parallette Tuck L Sit,Core,-2,movilidad_estabilidad
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Biceps,Elbow Flexion,Bodybuilding,https://youtu.be/o1c9wFYt6FA?feature=shared,EZ Bar Close Grip Bicep Curl,Jalón,-3,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Shoulders,Vertical Push,Bodybuilding,https://youtu.be/_5VJKCjn8YE?feature=shared,EZ Bar Overhead Press,Empuje,2,fuerza_hipertrofia
Intermedio,Otro equipo,Movilidad / estabilidad,Principal,Abdominals,Isometric Hold,Calisthenics,https://youtu.be/V3hnphPbiAg,Parallette Single Leg L Sit,Core,-2,movilidad_estabilidad
Intermedio,Accesorios funcionales,Core / estabilidad,Principal,Abdominals,Hip Flexion,Sin clasificar,Sin dato,Stability Ball Bottoms Up,Core,1,core_estabilidad
Principiante,Accesorios funcionales,Core / estabilidad,Principal,Abdominals,Rotational,Sin clasificar,https://youtu.be/tVfP2_HkXEc,Stability Ball Windshield Wiper,Core,3,core_estabilidad
Intermedio,Accesorios funcionales,Movilidad / estabilidad,Calentamiento,Abdominals,Isometric Hold,Balance,https://youtu.be/wIkwr6LV9E8?si=WttWmNStYjInstEN,Stability Ball Tall Kneeling Balance,Core,2,movilidad_estabilidad
Principiante,Accesorios funcionales,Core / estabilidad,Principal,Abdominals,Rotational,Sin clasificar,Sin dato,Stability Ball Oblique Crunch,Core,3,core_estabilidad
Principiante,Accesorios funcionales,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Extension,Sin clasificar,https://youtu.be/4xODTD0UL-o?si=TSlUT4Fa309FslEb,Stability Ball Forearm Plank,Core,1,movilidad_estabilidad
Principiante,Accesorios funcionales,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/bAaaXP2xb8E?si=AOaxE4RzaGKjiq0h,Slider Double Kettlebell Suitcase Lateral Lunge,Pierna,2,fuerza_hipertrofia
Principiante,Accesorios funcionales,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/OsP6_mqxBDI?si=Kdp1ECOmqjUFcNM9,Slider Kettlebell Horn Grip Lateral Lunge,Pierna,2,fuerza_hipertrofia
Intermedio,Peso libre,Core / estabilidad,Principal,Abdominals,Spinal Flexion,Sin clasificar,https://youtu.be/h9OYpweuJEc,Single Arm Dumbbell Turkish Sit Up,Core,1,core_estabilidad
Intermedio,Otro equipo,Core / estabilidad,Principal,Abdominals,Spinal Flexion,Sin clasificar,https://youtu.be/EhYVfy1KUUA,Single Arm Landmine Turkish Sit Up,Core,1,core_estabilidad
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/xkL1f4yewf0,Double Kettlebell Front Rack Cyclist Squat,Pierna,2,fuerza_hipertrofia
Intermedio,Peso libre,Core / estabilidad,Principal,Abdominals,Spinal Flexion,Sin clasificar,https://youtu.be/SreLOxzaIX4,Double Dumbbell Turkish Sit Up,Core,1,core_estabilidad
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/_FjMUe0AhTY,Single Arm Kettlebell Front Rack Cyclist Squat,Pierna,2,fuerza_hipertrofia
Intermedio,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/PSRoSLw3GME,Single Arm Kettlebell Overhead Cyclist Squat,Pierna,2,fuerza_hipertrofia
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/JFeG8YiLYmk,Double Dumbbell Front Rack Alternating Cossack Squat,Pierna,2,fuerza_hipertrofia
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/TysYZ7rKhpM,Kettlebell Horn Grip Cyclist Squat,Pierna,2,fuerza_hipertrofia
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,Sin dato,Kettlebell Bottoms Up Horn Grip Cyclist Squat,Pierna,2,fuerza_hipertrofia
Intermedio,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/x8bLCSXTChA,Single Arm Kettlebell Bottoms Up Front Rack Cyclist Squat,Pierna,2,fuerza_hipertrofia
Intermedio,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,Sin dato,Double Kettlebell Overhead Cyclist Squat,Pierna,2,fuerza_hipertrofia
Avanzado,Peso libre,Fuerza / hipertrofia,Principal avanzado,Quadriceps,Knee Dominant,Bodybuilding,Sin dato,Double Kettlebell Bottoms Up Overhead Cyclist Squat,Pierna,2,fuerza_hipertrofia
Intermedio,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,Sin dato,Double Kettlebell Bottoms Up Front Rack Cyclist Squat,Pierna,2,fuerza_hipertrofia
Avanzado,Peso libre,Fuerza / hipertrofia,Principal avanzado,Quadriceps,Knee Dominant,Bodybuilding,Sin dato,Single Arm Kettlebell Bottoms Up Overhead Cyclist Squat,Pierna,2,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Shoulders,Vertical Push,Bodybuilding,https://youtu.be/-MwL_9KOv7U?si=z-KgUayvNC37N78i,EZ Bar Seated Overhead Press,Empuje,2,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Triceps,Elbow Extension,Bodybuilding,Sin dato,EZ Bar Tall Kneeling Overhead Tricep Extension,Empuje,-3,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Shoulders,Vertical Push,Bodybuilding,Sin dato,EZ Bar Reverse Grip Overhead Press,Empuje,2,fuerza_hipertrofia
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/2U58iHm7oSM,Double Dumbbell Suitcase Knee Over Toe Split Squat,Pierna,2,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Shoulders,Vertical Push,Bodybuilding,Sin dato,EZ Bar Reverse Grip Seated Overhead Press,Empuje,2,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Triceps,Horizontal Push,Bodybuilding,https://youtu.be/yoS-cVxq28Q?si=hPjefaZ8jY6Ugoh_,EZ Bar Close Grip Bench Press,Empuje,2,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Triceps,Horizontal Push,Bodybuilding,https://youtu.be/PEH5Ncie81g?si=F2eXxzjoehGGc9Bb,EZ Bar Close Grip Incline Bench Press,Empuje,2,fuerza_hipertrofia
Principiante,Otro equipo,Fuerza / hipertrofia,Principal,Triceps,Horizontal Push,Bodybuilding,https://youtu.be/K40CGYdAysc?si=AY-3wTXsp03-uRQ_,EZ Bar Close Grip Decline Bench Press,Empuje,2,fuerza_hipertrofia
Principiante,Gimnasio / maquina,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Rotational,Sin clasificar,https://youtu.be/7JBR6JGE1hY,Cable Half Kneeling Pallof Press,Core,3,movilidad_estabilidad
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,Sin dato,Single Arm Kettlebell Cyclist Thruster,Pierna,2,fuerza_hipertrofia
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,Sin dato,Double Kettlebell Cyclist Thruster,Pierna,2,fuerza_hipertrofia
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,Sin dato,Alternating Double Kettlebell Cyclist Thruster,Pierna,2,fuerza_hipertrofia
Intermedio,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,Sin dato,Single Arm Kettlebell Bottoms Up Cyclist Thruster,Pierna,2,fuerza_hipertrofia
Intermedio,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,Sin dato,Double Kettlebell Bottoms Up Cyclist Thruster,Pierna,2,fuerza_hipertrofia
Intermedio,Peso libre,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,Sin dato,Alternating Double Kettlebell Bottoms Up Cyclist Thruster,Pierna,2,fuerza_hipertrofia
Intermedio,Peso libre,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Extension,Sin clasificar,https://youtu.be/AEfj6Lnn0Ao,Barbell Kneeling Rollout,Core,1,movilidad_estabilidad
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Shoulders,Vertical Push,Bodybuilding,https://youtu.be/ZO_ALQcMaq4?si=Sv5NmxfQj3aIKU84,Barbell Reverse Grip Overhead Press,Empuje,2,fuerza_hipertrofia
Principiante,Peso libre,Fuerza / hipertrofia,Principal,Shoulders,Vertical Push,Bodybuilding,Sin dato,Barbell Seated Reverse Grip Overhead Press,Empuje,2,fuerza_hipertrofia
Principiante,Gimnasio / maquina,Movilidad / estabilidad,Calentamiento,Abdominals,Anti-Rotational,Sin clasificar,https://youtu.be/EtEPKajf0PE,Cable Tall Kneeling Pallof Press,Core,3,movilidad_estabilidad
Principiante,Otro equipo,Condicion fisica / potencia,Tecnica,Abdominals,Rotational,Ballistics,https://youtu.be/ykhGpORlJ4Y?si=6hFSwmMbG1lGLXki,Tire Sledge Hammer Staggered Stance Slam,Core,8,potencia_funcional
Principiante,Otro equipo,Condicion fisica / potencia,Tecnica,Abdominals,Rotational,Ballistics,Sin dato,Tire Macebell Staggered Stance Slam,Core,8,potencia_funcional
Intermedio,Peso libre,Condicion fisica / potencia,Tecnica,Glutes,Hip Hinge,Olympic Weightlifting,https://youtu.be/0aP3tgKZcHQ,Barbell Hang Power Clean,Pierna,5,potencia_funcional
Intermedio,Otro equipo,Fuerza / hipertrofia,Principal,Quadriceps,Knee Dominant,Bodybuilding,https://youtu.be/N549md2Wu2A,Landmine Goblet Alternating Cossack Squat,Pierna,2,fuerza_hipertrofia
